name	type	mode	description
ancestors	RECORD	REPEATED	List of concepts that this concept descends from, as dehydrated Concept objects. See the concept tree section for more details on how the different layers of concepts work together.
ancestors.display_name	STRING	NULLABLE	The English-language label of the concept.
ancestors.id	STRING	NULLABLE	The OpenAlex ID for this concept.
ancestors.level	INTEGER	NULLABLE	The level in the concept tree where this concept lives.
ancestors.wikidata	STRING	NULLABLE	The Wikidata ID for this concept.
cited_by_count	INTEGER	NULLABLE	The number citations to works that have been tagged with this concept. Or less formally: the number of citations to this concept. For example, if there are just two works tagged with this concept and one of them has been cited 10 times, and the other has been cited 1 time, cited_by_count for this concept would be 11.
counts_by_year	RECORD	REPEATED	The values of works_count and cited_by_count for each of the last ten years, binned by year. To put it another way: for every listed year, you can see how many new works were tagged with this concept, and how many times any work tagged with this concept got cited.
counts_by_year.cited_by_count	INTEGER	NULLABLE	The number citations to works that have been tagged with this concept. Or less formally: the number of citations to this concept. For example, if there are just two works tagged with this concept and one of them has been cited 10 times, and the other has been cited 1 time, cited_by_count for this concept would be 11.
counts_by_year.oa_works_count	INTEGER	NULLABLE	
counts_by_year.works_count	INTEGER	NULLABLE	The number of works tagged with this concept.
counts_by_year.year	INTEGER	NULLABLE	The year.
created_date	DATE	NULLABLE	The date this Concept object was created in the OpenAlex dataset, expressed as an ISO 8601 date string.
description	STRING	NULLABLE	A brief description of this concept.
display_name	STRING	NULLABLE	The English-language label of the concept.
id	STRING	NULLABLE	The OpenAlex ID for this concept.
ids	RECORD	NULLABLE	All the persistent identifiers (PIDs) that we know about for this venue, as key: value pairs, where key is the PID namespace, and value is the PID. IDs are expressed as URIs where possible. umls_aui and umls_cui refer to the Unified Medical Language System Atom Unique Identifier and Concept Unique Identifier respectively. These are lists. The other IDs are all strings, except except for mag, which is a long integer.
ids.mag	INTEGER	NULLABLE	this concept’s Microsoft Academic Graph ID
ids.openalex	STRING	NULLABLE	this concept’s OpenAlex ID. Same as Concept.id
ids.umls_aui	STRING	REPEATED	this concept’s Unified Medical Language System Atom Unique Identifiers
ids.umls_cui	STRING	REPEATED	this concept’s Unified Medical Language System Concept Unique Identifiers
ids.wikidata	STRING	NULLABLE	this concept’s Wikidata ID. Same as Concept.wikidata
ids.wikipedia	STRING	NULLABLE	this concept’s Wikipedia page URL
image_thumbnail_url	STRING	NULLABLE	Same as image_url, but it’s a smaller image.
image_url	STRING	NULLABLE	URL where you can get an image representing this concept, where available. Usually this is hosted on Wikipedia.
international	RECORD	NULLABLE	Translation of the display_name and description into multiple languages.
international.description	RECORD	NULLABLE	This concept’s description in many languages, derived from article titles on each language’s wikipedia.
international.description.keys	STRING	REPEATED	The language codes in wikidata language code format.
international.description.values	STRING	REPEATED	The translated descriptions in each language.
international.display_name	RECORD	NULLABLE	This concept’s display name in many languages, derived from article titles on each language’s wikipedia.
international.display_name.keys	STRING	REPEATED	The language codes in wikidata language code format.
international.display_name.values	STRING	REPEATED	The translated display_names in each language.
level	INTEGER	NULLABLE	The level in the concept tree where this concept lives. Lower-level concepts are more general, and higher-level concepts are more specific. Computer Science has a level of 0; Java Bytecode has a level of 5. Level 0 concepts have no ancestors and level 5 concepts have no descendants.
related_concepts	RECORD	REPEATED	Concepts that are similar to this one. Each listed concept is a dehydrated Concept object, with one additional attribute
related_concepts.display_name	STRING	NULLABLE	The English-language label of the concept.
related_concepts.id	STRING	NULLABLE	The OpenAlex ID for this concept.
related_concepts.level	INTEGER	NULLABLE	The level in the concept tree where this concept lives.
related_concepts.score	FLOAT	NULLABLE	The strength of association between this concept and the listed concept, on a scale of 0-100.
related_concepts.wikidata	STRING	NULLABLE	The Wikidata ID for this concept.
summary_stats	RECORD	NULLABLE	Citation metrics for this concept.
summary_stats.2yr_cited_by_count	INTEGER	NULLABLE	
summary_stats.2yr_h_index	INTEGER	NULLABLE	
summary_stats.2yr_i10_index	INTEGER	NULLABLE	
summary_stats.2yr_mean_citedness	FLOAT	NULLABLE	
summary_stats.2yr_works_count	INTEGER	NULLABLE	
summary_stats.cited_by_count	INTEGER	NULLABLE	
summary_stats.h_index	INTEGER	NULLABLE	
summary_stats.i10_index	INTEGER	NULLABLE	
summary_stats.oa_percent	FLOAT	NULLABLE	
summary_stats.works_count	INTEGER	NULLABLE	
updated 	TIMESTAMP	NULLABLE	
updated_date	TIMESTAMP	NULLABLE	The last time anything in this concept object changed, expressed as an ISO 8601 date string. This date is updated for any change at all, including increases in various counts.
wikidata	STRING	NULLABLE	The Wikidata ID for this concept. This is the Canonical External ID for concepts.
works_api_url	STRING	NULLABLE	An URL that will get you a list of all the works tagged with this concept. We express this as an API URL (instead of just listing the works themselves) because there might be millions of works tagged with this concept, and that’s too many to fit here.
works_count	INTEGER	NULLABLE	The number of works tagged with this concept.
