name	type	mode	description
alternate_titles	STRING	REPEATED	A list of alternate titles for this funder.
cited_by_count	INTEGER	NULLABLE	The total number Works that cite a work linked to this funder.
country_code	STRING	NULLABLE	The country where this funder is located, represented as an ISO two-letter country code.
counts_by_year	RECORD	REPEATED	The values of works_count and cited_by_count for each of the last ten years, binned by year. To put it another way: for every listed year, you can see how many new works are linked to this funder, and how many times any work linked to this funder was cited. Years with zero citations and zero works have been removed so you will need to add those back in if you need them.
counts_by_year.cited_by_count	INTEGER	NULLABLE	
counts_by_year.oa_works_count	INTEGER	NULLABLE	
counts_by_year.works_count	INTEGER	NULLABLE	
counts_by_year.year	INTEGER	NULLABLE	
created_date	DATE	NULLABLE	The date this Funder object was created in the OpenAlex dataset, expressed as an ISO 8601 date string.
description	STRING	NULLABLE	A short description of this funder, taken from Wikidata.
display_name	STRING	NULLABLE	The primary name of the funder.
homepage_url	STRING	NULLABLE	The URL for this funder’s primary homepage.
id	STRING	NULLABLE	The OpenAlex ID for this funder.
ids	RECORD	NULLABLE	All the external identifiers that we know about for this funder. IDs are expressed as URIs whenever possible.
ids.openalex	STRING	NULLABLE	this funder’s OpenAlex ID
ids.ror	STRING	NULLABLE	this funder’s ROR ID
ids.wikidata	STRING	NULLABLE	this funder’s Wikidata ID
image_thumbnail_url	STRING	NULLABLE	Same as image_url, but it’s a smaller image. This is usually a hotlink to a wikimedia image. You can change the width=300 parameter in the URL if you want a different thumbnail size.
image_url	STRING	NULLABLE	URL where you can get an image representing this funder. Usually this a hotlink to a Wikimedia image, and usually it’s a seal or logo.
roles	RECORD	REPEATED	List of role objects, which include the role (one of institution, funder, or publisher), the id (OpenAlex ID), and the works_count. In many cases, a single organization does not fit neatly into one role. For example, Yale University is a single organization that is a research university, funds research studies, and publishes an academic journal. The roles property links the OpenAlex entities together for a single organization, and includes counts for the works associated with each role. The roles list of an entity (Funder, Publisher, or Institution) always includes itself. In the case where an organization only has one role, the roles will be a list of length one, with itself as the only item.
roles.id	STRING	NULLABLE	
roles.role	STRING	NULLABLE	
roles.works_count	INTEGER	NULLABLE	
summary_stats	RECORD	NULLABLE	Citation metrics for this funder. While the h-index and the i-10 index are normally author-level metrics and the 2-year mean citedness is normally a journal-level metric, they can be calculated for any set of papers, so we include them for funders.
summary_stats.2yr_cited_by_count	INTEGER	NULLABLE	
summary_stats.2yr_h_index	INTEGER	NULLABLE	
summary_stats.2yr_i10_index	INTEGER	NULLABLE	
summary_stats.2yr_mean_citedness	FLOAT	NULLABLE	The 2-year mean citedness for this funder. Also known as impact factor.
summary_stats.2yr_works_count	INTEGER	NULLABLE	
summary_stats.cited_by_count	INTEGER	NULLABLE	
summary_stats.h_index	INTEGER	NULLABLE	The h-index for this funder.
summary_stats.i10_index	INTEGER	NULLABLE	The i-10 index for this funder.
summary_stats.oa_percent	FLOAT	NULLABLE	
summary_stats.works_count	INTEGER	NULLABLE	
updated_date	TIMESTAMP	NULLABLE	The last time anything in this funder object changed, expressed as an ISO 8601 date string. This date is updated for any change at all, including increases in various counts.
works_count	INTEGER	NULLABLE	The number of works linked to this funder.
x_concepts	RECORD	REPEATED	The concepts most frequently applied to works created by this author. Will be deprecated soon with no communication.
x_concepts.concept_id	STRING	NULLABLE	
x_concepts.display_name	STRING	NULLABLE	
x_concepts.level	INTEGER	NULLABLE	
x_concepts.score	FLOAT	NULLABLE	
x_concepts.wikidata	STRING	NULLABLE	
