name	type	mode	description
alternate_titles	STRING	REPEATED	A list of alternate titles for this publisher.
cited_by_count	INTEGER	NULLABLE	The number of citations to works that are linked to this publisher through journals or other sources. For example, if a publisher publishes 27 journals and those 27 journals have 3,050 works, this number is the sum of the cited_by_count values for all of those 3,050 works.
country_codes	STRING	REPEATED	The countries where the publisher is primarily located, as an ISO two-letter country code.
counts_by_year	RECORD	REPEATED	The values of works_count and cited_by_count for each of the last ten years, binned by year. To put it another way: for every listed year, you can see how many new works are linked to this publisher, and how many times any work linked to this publisher was cited. Years with zero citations and zero works have been removed so you will need to add those back in if you need them.
counts_by_year.cited_by_count	INTEGER	NULLABLE	The total number of Works that cite a Work published by this publisher.
counts_by_year.oa_works_count	INTEGER	NULLABLE	
counts_by_year.works_count	INTEGER	NULLABLE	The total number of Works that are published by this publisher.
counts_by_year.year	INTEGER	NULLABLE	The year.
created_date	DATE	NULLABLE	The date this Publisher object was created in the OpenAlex dataset, expressed as an ISO 8601 date string.
display_name	STRING	NULLABLE	The primary name of the publisher.
hierarchy_level	INTEGER	NULLABLE	The hierarchy level for this publisher. A publisher with hierarchy level 0 has no parent publishers. A hierarchy level 1 publisher has one parent above it, and so on.
homepage_url	STRING	NULLABLE	The URL for this funder's primary homepage.
id	STRING	NULLABLE	The OpenAlex ID for this publisher.
ids	RECORD	NULLABLE	All the external identifiers that we know about for this publisher. IDs are expressed as URIs whenever possible.
ids.openalex	STRING	NULLABLE	this publishers’s OpenAlex ID
ids.ror	STRING	NULLABLE	this publisher’s ROR ID
ids.wikidata	STRING	NULLABLE	this publisher’s Wikidata ID
image_thumbnail_url	STRING	NULLABLE	This is usually a hotlink to a wikimedia image. You can change the width=300 parameter in the URL if you want a different thumbnail size.
image_url	STRING	NULLABLE	URL where you can get an image representing this publisher. Usually this a hotlink to a Wikimedia image, and usually it’s a seal or logo.
lineage	STRING	REPEATED	OpenAlex IDs of publishers. The list will include this publisher’s ID, as well as any parent publishers. If this publisher’s hierarchy_level is 0, this list will only contain its own ID.
parent_publisher	RECORD	NULLABLE	An OpenAlex ID linking to the direct parent of the publisher and display name. This will be null if the publisher’s hierarchy_level is 0.
parent_publisher.display_name	STRING	NULLABLE	
parent_publisher.id	STRING	NULLABLE	
roles	RECORD	REPEATED	
roles.id	STRING	NULLABLE	
roles.role	STRING	NULLABLE	
roles.works_count	INTEGER	NULLABLE	
sources_api_url	STRING	NULLABLE	An URL that will get you a list of all the sources published by this publisher. We express this as an API URL (instead of just listing the sources themselves) because there might be thousands of sources linked to a publisher, and that’s too many to fit here.
sources_count	INTEGER	NULLABLE	
summary_stats	RECORD	NULLABLE	Citation metrics for this publisher
summary_stats.2yr_cited_by_count	INTEGER	NULLABLE	
summary_stats.2yr_h_index	INTEGER	NULLABLE	
summary_stats.2yr_i10_index	INTEGER	NULLABLE	
summary_stats.2yr_mean_citedness	FLOAT	NULLABLE	
summary_stats.2yr_works_count	INTEGER	NULLABLE	
summary_stats.cited_by_count	INTEGER	NULLABLE	
summary_stats.h_index	INTEGER	NULLABLE	
summary_stats.i10_index	INTEGER	NULLABLE	
summary_stats.oa_percent	FLOAT	NULLABLE	
summary_stats.works_count	INTEGER	NULLABLE	
updated_date	TIMESTAMP	NULLABLE	The last time anything in this publisher object changed, expressed as an ISO 8601 date string. This date is updated for any change at all, including increases in various counts.
works_count	INTEGER	NULLABLE	The number of works published by this publisher.
x_concepts	RECORD	REPEATED	The “x” in x_concepts is because it’s experimental and subject to removal with very little warning. We plan to replace it with a custom link to the Concepts API endpoint. The Concepts most frequently applied to works affiliated with this institution. Each is represented as a dehydrated Concept object, with one additional attribute
x_concepts.display_name	STRING	NULLABLE	The English-language label of the concept.
x_concepts.id	STRING	NULLABLE	The OpenAlex ID for this concept.
x_concepts.level	INTEGER	NULLABLE	The level in the concept tree where this concept lives.
x_concepts.score	FLOAT	NULLABLE	The strength of association between this institution and the listed concept, from 0-100.
x_concepts.wikidata	STRING	NULLABLE	The Wikidata ID for this concept.
