name	type	mode	description
abstract_inverted_index	RECORD	NULLABLE	The abstract of the work, as an inverted index, which encodes information about the abstract’s words and their positions within the text. Like Microsoft Academic Graph, OpenAlex doesn’t include plaintext abstracts due to legal constraints.
abstract_inverted_index.keys	STRING	REPEATED	Custom field created by COKI. Originally each word in the abstract was a key and the indices of where this word occurred inside the abstract the corresponding value.
abstract_inverted_index.values	STRING	REPEATED	Custom field created by COKI. Originally each word in the abstract was a key and the indices of where this word occurred inside the abstract the corresponding value.
apc_list	RECORD	NULLABLE	Objects containing information about the APC (article processing charge) for this work. This value is the APC list price–the price as listed by the journal’s publisher. That’s not always the price actually paid, because publishers may offer various discounts to authors. Unfortunately we don’t always know this discounted price, but when we do you can find it in apc_paid. Currently our only source for this data is DOAJ, and so doaj is the only value for apc_list.provenance, but we’ll add other sources over time.
apc_list.currency	STRING	NULLABLE	
apc_list.price	INTEGER	NULLABLE	
apc_list.price_usd	INTEGER	NULLABLE	APC converted to USD
apc_list.provenance	STRING	NULLABLE	
apc_paid	RECORD	NULLABLE	Object: Information about the paid APC (article processing charge) for this work. You can find the listed APC price (when we know it) for a given work using apc_list. However, authors don’t always pay the listed price; often they get a discounted price from publishers. So it’s useful to know the APC actually paid by authors, as distinct from the list price. This is our effort to provide this. Our best source for the actually paid price is the OpenAPC project. Where available, we use that data, and so apc_paid.provenance is openapc. Where OpenAPC data is unavailable (and unfortunately this is common) we make our best guess by assuming the author paid the APC list price, and apc_paid.provenance will be set to wherever we got the list price from.
apc_paid.currency	STRING	NULLABLE	
apc_paid.price	INTEGER	NULLABLE	
apc_paid.price_usd	INTEGER	NULLABLE	APC converted to USD
apc_paid.provenance	STRING	NULLABLE	
authorships	RECORD	REPEATED	List of Authorship objects, each representing an author and their institution.
authorships.author	RECORD	NULLABLE	An author of this work, as a dehydrated Author object.
authorships.author.display_name	STRING	NULLABLE	The name of the author as a single string.
authorships.author.id	STRING	NULLABLE	The OpenAlex ID for this author.
authorships.author.orcid	STRING	NULLABLE	The ORCID for this author. ORCID global and unique ID for authors.
authorships.author_position	STRING	NULLABLE	A summarized description of this author’s position in the work’s author list. Possible values are first, middle, and last. It’s not strictly necessary, because author order is already implicitly recorded by the list order of Authorship objects; however it’s useful in some contexts to have this as a categorical value.
authorships.institutions	RECORD	REPEATED	The institutional affiliations this author claimed in the context of this work, as dehydrated Institution objects.
authorships.institutions.country_code	STRING	NULLABLE	The country where this institution is located, represented as an ISO two-letter country code.
authorships.institutions.display_name	STRING	NULLABLE	The primary name of the institution.
authorships.institutions.id	STRING	NULLABLE	The OpenAlex ID for this institution.
authorships.institutions.lineage	STRING	REPEATED	OpenAlex IDs of institutions. The list will include this institution’s ID, as well as any parent institutions. If this institution has no parent institutions, this list will only contain its own ID.
authorships.institutions.ror	STRING	NULLABLE	The ROR ID for this institution. The ROR (Research Organization Registry) identifier is a globally unique ID for research organization. ROR is the successor to GRiD, which is no longer being updated.
authorships.institutions.type	STRING	NULLABLE	The institution’s primary type, using the ROR “type” controlled vocabulary. Possible values are: Education, Healthcare, Company, Archive, Nonprofit, Government, Facility, and Other.
authorships.is_corresponding	BOOLEAN	NULLABLE	
authorships.raw_affiliation_string	STRING	NULLABLE	This author’s affiliation as it originally came to us (on a webpage or in an API), as a raw unformatted string.
authorships.raw_affiliation_strings	STRING	REPEATED	
authorships.raw_author_name	STRING	NULLABLE	This author’s name as it originally came to us (on a webpage or in an API), as a raw unformatted string.
best_oa_location	RECORD	NULLABLE	A Location object with the best available open access location for this work.
best_oa_location.is_oa	BOOLEAN	NULLABLE	True if this work is Open Access (OA).
best_oa_location.landing_page_url	STRING	NULLABLE	The landing page URL for this location.
best_oa_location.license	STRING	NULLABLE	The location’s publishing license. This can be a Create Commons license such as cc0 or cc-by, a publisher-specific license, or null which means we are not able to determine a license for this location.
best_oa_location.pdf_url	STRING	NULLABLE	A URL where you can find this location as a PDF.
best_oa_location.source	RECORD	NULLABLE	Information about the source of this location, as a DehydratedSource object.
best_oa_location.source.display_name	STRING	NULLABLE	The name of the source.
best_oa_location.source.host_organization	STRING	NULLABLE	The host organization for this source as an OpenAlex ID. This will be an Institution.id if the source is a repository, and a Publisher.id if the source is a journal, conference, or eBook platform (based on the type field).
best_oa_location.source.host_organization_lineage	STRING	REPEATED	OpenAlex IDs — See Publisher.lineage. This will only be included if the host_organization is a publisher (and not if the host_organization is an institution).
best_oa_location.source.host_organization_lineage_names	STRING	REPEATED	The names of the organisations in host_organization_lineage.
best_oa_location.source.host_organization_name	STRING	NULLABLE	The display_name from the host_organization, shown for convenience.
best_oa_location.source.id	STRING	NULLABLE	The OpenAlex ID for this source.
best_oa_location.source.is_in_doaj	BOOLEAN	NULLABLE	Whether this is a journal listed in the Directory of Open Access Journals (DOAJ).
best_oa_location.source.issn	STRING	REPEATED	The ISSNs used by this source. Many publications have multiple ISSNs (see above), so ISSN-L should be used when possible.
best_oa_location.source.issn_l	STRING	NULLABLE	The ISSN-L identifying this source. This is the Canonical External ID for sources.
best_oa_location.source.publisher	STRING	NULLABLE	
best_oa_location.source.publisher_id	STRING	NULLABLE	
best_oa_location.source.type	STRING	NULLABLE	The type of source.
best_oa_location.version	STRING	NULLABLE	The version of the work, based on the DRIVER Guidelines versioning scheme.
biblio	RECORD	NULLABLE	Old-timey bibliographic info for this work. This is mostly useful only in citation/reference contexts. These are all strings because sometimes you’ll get fun values like “Spring” and “Inside cover.”
biblio.first_page	STRING	NULLABLE	
biblio.issue	STRING	NULLABLE	
biblio.last_page	STRING	NULLABLE	
biblio.volume	STRING	NULLABLE	
cited_by_api_url	STRING	NULLABLE	
cited_by_count	INTEGER	NULLABLE	The number of citations to this work. These are the times that other works have cited this work: Other works ➞ This work.
concepts	RECORD	REPEATED	List of dehydrated Concept objects.  Each Concept object in the list also has one additional property
concepts.display_name	STRING	NULLABLE	The English-language label of the concept.
concepts.id	STRING	NULLABLE	The OpenAlex ID for this concept.
concepts.level	INTEGER	NULLABLE	The level in the concept tree where this concept lives.
concepts.score	FLOAT	NULLABLE	The strength of the connection between the work and this concept (higher is stronger).
concepts.wikidata	STRING	NULLABLE	The Wikidata ID for this concept.
corresponding_author_ids	STRING	REPEATED	OpenAlex IDs of any authors for which authorships.is_corresponding is true.
corresponding_institution_ids	STRING	REPEATED	OpenAlex IDs of any institutions found within an authorship for which authorships.is_corresponding is true.
countries_distinct_count	INTEGER	NULLABLE	Number of distinct country_codes among the authorships for this work.
counts_by_year	RECORD	REPEATED	Works.cited_by_count for each of the last ten years, binned by year. To put it another way: each year, you can see how many times this work was cited.
counts_by_year.cited_by_count	INTEGER	NULLABLE	The number of times this work is cited in this year.
counts_by_year.oa_works_count	INTEGER	NULLABLE	
counts_by_year.year	INTEGER	NULLABLE	The year.
created_date	DATE	NULLABLE	The date this Work object was created in the OpenAlex dataset, expressed as an ISO 8601 date string.
display_name	STRING	NULLABLE	Exactly the same as Work.title. It’s useful for Works to include a display_name property, since all the other entities have one.
doi	STRING	NULLABLE	The DOI for the work. This is the Canonical External ID for works. Occasionally, a work has more than one DOI–for example, there might be one DOI for a preprint version hosted on bioRxiv, and another DOI for the published version. However, this field always has just one DOI, the DOI for the published work.
funders	RECORD	REPEATED	
funders.awards	STRING	REPEATED	
funders.display_name	STRING	NULLABLE	
funders.id	STRING	NULLABLE	
funders.ids	RECORD	NULLABLE	
funders.ids.openalex	STRING	NULLABLE	
funders.ids.ror	STRING	NULLABLE	
funders.ids.wikidata	STRING	NULLABLE	
grants	RECORD	REPEATED	List of grant objects, which include the Funder and the award ID, if available. Our grants data comes from Crossref, and is currently fairly limited.
grants.award_id	STRING	NULLABLE	
grants.funder	STRING	NULLABLE	
grants.funder_display_name	STRING	NULLABLE	
id	STRING	NULLABLE	The OpenAlex ID for this work.
ids	RECORD	NULLABLE	All the persistent identifiers (PIDs) that we know about for this work, as key: value pairs, where key is the PID namespace, and value is the PID. IDs are expressed as URIs where possible.
ids.doi	STRING	NULLABLE	The DOI. Same as Work.doi
ids.mag	INTEGER	NULLABLE	The Microsoft Academic Graph ID
ids.openalex	STRING	NULLABLE	The OpenAlex ID. Same as Work.id
ids.pmcid	STRING	NULLABLE	the Pubmed Central identifier
ids.pmid	STRING	NULLABLE	The Pubmed Identifier
institutions_distinct_count	INTEGER	NULLABLE	Number of distinct institutions among the authorships for this work.
